Table 2.4.5. Personal Consumption Expenditures by Type of Product
Table 2.4.5. Personal Consumption Expenditures by Type of Product
"Last Revised on: August 26, 2026 - Next Release Date September 30, 2026"
Line,,2024,2024,2024,2024,2025,2025,2025,2025,2026,2026
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
70,"                Motor vehicle maintenance and repair (60)",246.4,261.8,257.0,264.7,267.1,274.3,279.4,286.1,279.7,284.4
71,"                Other motor vehicle services (61)",110.1,110.3,111.1,112.9,114.7,118.8,119.4,121.0,124.9,125.3
72,"            Public transportation",278.6,293.8,294.3,301.0,301.7,303.9,311.8,316.6,333.4,350.3
73,"                Ground transportation (63)",90.5,97.8,97.0,98.5,100.0,105.0,108.3,109.2,111.0,113.5
74,"                Air transportation (64)",181.8,189.2,190.1,195.4,194.3,191.6,196.2,199.9,214.9,229.1
75,"                Water transportation (65)",6.3,6.8,7.1,7.1,7.4,7.3,7.3,7.5,7.6,7.7
76,"        Recreation services",763.1,769.1,778.2,797.7,799.7,811.5,825.1,840.5,851.3,869.3
77,"            Membership clubs, sports centers, parks, theaters, and museums (82)",286.9,285.9,292.3,299.8,299.5,302.5,308.6,313.4,319.2,328.8
78,"            Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",171.7,170.4,171.7,172.7,172.8,172.3,170.8,173.8,174.6,177.1
79,"            Gambling (91)",198.8,205.9,206.4,216.7,219.2,226.1,232.3,239.6,242.3,246.6
80,"            Other recreational services (81, 94, and part of 92)",105.7,106.9,107.9,108.5,108.3,110.6,113.3,113.8,115.2,116.8
81,"        Food services and accommodations",1409.9,1418.2,1433.5,1454.3,1463.8,1493.0,1507.5,1516.3,1520.8,1553.2
82,"            Food services",1209.3,1220.5,1237.0,1256.3,1267.3,1295.4,1310.2,1316.2,1317.1,1344.9
83,"                Purchased meals and beverages (102)",1175.4,1185.9,1201.8,1220.5,1231.1,1258.4,1272.6,1277.9,1278.2,1305.5
84,"                Food furnished to employees (including military) (103)",34.0,34.6,35.2,35.8,36.2,36.9,37.6,38.3,38.9,39.4
85,"            Accommodations (104)",200.6,197.7,196.5,198.0,196.6,197.6,197.3,200.1,203.7,208.3
86,"        Financial services and insurance",1515.5,1540.9,1575.6,1609.7,1637.6,1657.4,1707.7,1756.6,1796.7,1832.7
87,"            Financial services",1007.1,1024.5,1052.5,1082.1,1101.7,1118.0,1163.4,1206.8,1236.0,1269.4
88,"                Financial services furnished without payment (107)",544.8,557.1,572.5,587.7,593.8,596.0,622.8,645.5,656.5,671.7
89,"                Financial service charges, fees, and commissions (108)",462.3,467.4,479.9,494.5,507.9,522.1,540.6,561.3,579.5,597.7
90,"            Insurance",508.4,516.4,523.1,527.6,535.9,539.4,544.3,549.8,560.7,563.3
91,"                Life insurance (110)",126.0,127.6,128.0,128.7,130.2,129.9,130.0,131.2,130.6,130.6
92,"                Net household insurance (111)",17.6,18.0,18.4,19.2,19.3,19.4,19.8,20.6,20.6,20.7
93,"                Net health insurance (112)",266.6,269.2,271.4,273.4,279.2,281.6,285.0,288.0,298.8,301.0
94,"                Net motor vehicle and other transportation insurance (116)",98.2,101.7,105.4,106.2,107.2,108.5,109.5,110.0,110.6,110.9
95,"        Other services",1645.7,1665.5,1682.3,1709.7,1735.1,1762.2,1794.7,1819.5,1819.7,1833.1
96,"            Communication",305.3,307.4,310.4,313.3,315.6,320.0,319.2,322.4,325.2,324.6
97,"                Telecommunication services (71)",179.8,181.0,181.2,183.5,183.6,186.8,184.5,186.6,185.7,183.5
98,"                Postal and delivery services (68)",17.0,17.0,17.3,17.2,17.1,16.9,17.2,17.1,17.3,17.8
99,"                Internet access (72)",108.5,109.4,111.8,112.6,114.9,116.3,117.5,118.7,122.2,123.2
100,"            Education services",348.1,351.3,353.4,356.1,358.9,362.3,365.5,365.7,368.7,370.8
101,"                Higher education (97)",205.7,205.3,206.7,207.6,208.0,209.0,208.7,206.8,207.8,209.2
102,"                Nursery, elementary, and secondary schools (98)",61.6,62.9,63.2,64.4,65.4,66.0,67.5,68.4,69.1,69.4
103,"                Commercial and vocational schools (99)",80.7,83.0,83.5,84.1,85.5,87.2,89.3,90.4,91.8,92.2
104,"            Professional and other services (121)",268.3,278.7,281.3,283.3,285.0,291.1,305.0,309.8,308.3,308.9
105,"            Personal care and clothing services (14 and parts of 17 and 118)",228.5,232.5,234.6,236.7,242.9,236.5,240.9,246.8,258.9,263.0
106,"            Social services and religious activities (120)",331.2,329.0,337.9,341.0,342.3,353.9,363.9,361.5,362.3,366.9
107,"            Household maintenance (parts of 31, 33, and 36)",114.3,115.0,117.0,118.2,119.5,121.8,123.4,124.4,124.2,128.9
108,"            Net foreign travel",50.1,51.6,47.8,61.1,71.0,76.8,76.9,88.8,72.2,70.1
109,"                Foreign travel by U.S. residents (129)",262.3,264.8,265.7,284.1,287.8,287.1,279.4,295.1,278.0,276.3
110,"                Less: Expenditures in the United States by nonresidents (130)",212.3,213.1,217.9,223.0,216.8,210.3,202.4,206.2,205.8,206.2
111,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",582.9,611.3,632.3,626.0,612.4,597.5,607.1,615.9,645.5,646.7
112,"        Gross output of nonprofit institutions (133)2",2154.8,2176.6,2240.6,2250.8,2265.5,2287.5,2338.2,2366.0,2400.1,2446.3
113,"        Less: Receipts from sales of goods and services by nonprofit institutions (134)3",1572.0,1565.3,1608.3,1624.8,1653.0,1690.0,1731.0,1750.1,1754.7,1799.6

Legend/Footnotes
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the world; includes membership dues and fees."
Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.
