"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Last Revised on: August 26, 2026 - Next Release Date September 30, 2026"
Line,,2024,2024,2024,2024,2025,2025,2025,2025,2026,2026
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
97,"                Telecommunication services (71)",221.4,223.3,223.8,230.0,231.9,237.7,237.2,242.3,247.9,244.4
98,"                Postal and delivery services (68)",12.2,12.0,12.0,11.7,11.6,11.3,11.2,11.0,11.0,10.5
99,"                Internet access (72)",98.8,98.3,101.4,105.1,105.4,107.6,107.5,107.8,108.8,110.5
100,"            Education services",303.5,304.5,304.2,304.3,305.3,306.6,307.3,305.7,306.3,307.0
101,"                Higher education (97)",182.4,181.1,181.0,180.4,180.4,180.2,179.2,177.0,176.7,177.1
102,"                Nursery, elementary, and secondary schools (98)",49.2,49.7,49.2,49.5,49.6,49.8,50.4,50.4,50.5,50.4
103,"                Commercial and vocational schools (99)",72.1,74.0,74.3,74.7,75.6,76.9,78.0,78.6,79.4,79.7
104,"            Professional and other services (121)",207.9,215.6,212.9,213.9,213.5,212.9,220.8,223.4,221.3,220.3
105,"            Personal care and clothing services (14 and parts of 17 and 118)",166.4,163.5,165.2,165.0,167.0,162.5,161.7,163.0,167.7,170.1
106,"            Social services and religious activities (120)",253.6,249.8,253.4,252.5,251.6,259.0,264.1,259.4,258.1,259.3
107,"            Household maintenance (parts of 31, 33, and 36)",82.3,82.6,82.5,82.4,82.3,82.1,82.8,82.9,82.7,83.3
108,"            Net foreign travel",75.1,77.4,81.1,99.3,106.2,101.4,108.8,121.9,104.1,101.7
109,"                Foreign travel by U.S. residents (129)",252.8,256.2,264.0,283.9,284.5,275.8,276.0,290.4,269.7,263.4
110,"                Less: Expenditures in the United States by nonresidents (130)",177.8,178.8,182.9,184.6,178.3,174.4,167.1,168.5,165.6,161.7
111,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",413.0,423.8,432.7,424.1,412.3,402.5,407.2,414.6,431.4,429.4
